x,n_regions_at_least,fitted_n_regions_at_least,reference_n_regions_at_least,in_fit,r_database,k,lambda_analytic,match_probability,null,reference,mismatch_penalty,xdrop,n_queries,query_residues,database_kmers,bin_width
0.000,50952721,2668211594.565,,false,0.8090458041913903,0.011565650374493319,0.42782263924999075,0.5185214875668276,reversed,,2,8,200,59508,3876813,0.5
0.500,50876693,1780484522.866,,false,0.8090458041913903,0.011565650374493319,0.42782263924999075,0.5185214875668276,reversed,,2,8,200,59508,3876813,0.5
1.000,50846098,1188108597.768,,false,0.8090458041913903,0.011565650374493319,0.42782263924999075,0.5185214875668276,reversed,,2,8,200,59508,3876813,0.5
1.500,50800892,792819045.580,,false,0.8090458041913903,0.011565650374493319,0.42782263924999075,0.5185214875668276,reversed,,2,8,200,59508,3876813,0.5
2.000,50719021,529044264.317,,false,0.8090458041913903,0.011565650374493319,0.42782263924999075,0.5185214875668276,reversed,,2,8,200,59508,3876813,0.5
2.500,50574302,353028645.272,,false,0.8090458041913903,0.011565650374493319,0.42782263924999075,0.5185214875668276,reversed,,2,8,200,59508,3876813,0.5
3.000,50285507,235574285.156,,false,0.8090458041913903,0.011565650374493319,0.42782263924999075,0.5185214875668276,reversed,,2,8,200,59508,3876813,0.5
3.500,49661073,157197566.175,,false,0.8090458041913903,0.011565650374493319,0.42782263924999075,0.5185214875668276,reversed,,2,8,200,59508,3876813,0.5
4.000,48371538,104897165.643,,false,0.8090458041913903,0.011565650374493319,0.42782263924999075,0.5185214875668276,reversed,,2,8,200,59508,3876813,0.5
4.500,45807809,69997364.640,,false,0.8090458041913903,0.011565650374493319,0.42782263924999075,0.5185214875668276,reversed,,2,8,200,59508,3876813,0.5
5.000,40686768,46708898.438,,false,0.8090458041913903,0.011565650374493319,0.42782263924999075,0.5185214875668276,reversed,,2,8,200,59508,3876813,0.5
5.500,31475910,31168619.055,,false,0.8090458041913903,0.011565650374493319,0.42782263924999075,0.5185214875668276,reversed,,2,8,200,59508,3876813,0.5
6.000,21902389,20798666.770,,false,0.8090458041913903,0.011565650374493319,0.42782263924999075,0.5185214875668276,reversed,,2,8,200,59508,3876813,0.5
6.500,14822817,13878848.422,,false,0.8090458041913903,0.011565650374493319,0.42782263924999075,0.5185214875668276,reversed,,2,8,200,59508,3876813,0.5
7.000,9912903,9261287.546,,false,0.8090458041913903,0.011565650374493319,0.42782263924999075,0.5185214875668276,reversed,,2,8,200,59508,3876813,0.5
7.500,6578691,6180011.799,,false,0.8090458041913903,0.011565650374493319,0.42782263924999075,0.5185214875668276,reversed,,2,8,200,59508,3876813,0.5
