x,n_regions_at_least,fitted_n_regions_at_least,reference_n_regions_at_least,in_fit,slope,k,lambda_analytic,match_probability,null,reference,mismatch_penalty,xdrop,n_queries,query_residues,database_kmers,bin_width
19.000,7352,485.212,795,false,0.8264683926965516,0.01388558487985401,0.42782263924999075,0.5185214875668276,database,shuffled-dipeptide,2,8,200,59508,3876813,0.5
19.500,6343,320.971,628,false,0.8264683926965516,0.01388558487985401,0.42782263924999075,0.5185214875668276,database,shuffled-dipeptide,2,8,200,59508,3876813,0.5
20.000,5373,212.325,508,false,0.8264683926965516,0.01388558487985401,0.42782263924999075,0.5185214875668276,database,shuffled-dipeptide,2,8,200,59508,3876813,0.5
20.500,4630,140.455,397,false,0.8264683926965516,0.01388558487985401,0.42782263924999075,0.5185214875668276,database,shuffled-dipeptide,2,8,200,59508,3876813,0.5
21.000,3907,92.912,333,false,0.8264683926965516,0.01388558487985401,0.42782263924999075,0.5185214875668276,database,shuffled-dipeptide,2,8,200,59508,3876813,0.5
21.500,3408,61.462,273,false,0.8264683926965516,0.01388558487985401,0.42782263924999075,0.5185214875668276,database,shuffled-dipeptide,2,8,200,59508,3876813,0.5
22.000,3026,40.657,219,false,0.8264683926965516,0.01388558487985401,0.42782263924999075,0.5185214875668276,database,shuffled-dipeptide,2,8,200,59508,3876813,0.5
22.500,2658,26.895,148,false,0.8264683926965516,0.01388558487985401,0.42782263924999075,0.5185214875668276,database,shuffled-dipeptide,2,8,200,59508,3876813,0.5
23.000,2358,17.791,118,false,0.8264683926965516,0.01388558487985401,0.42782263924999075,0.5185214875668276,database,shuffled-dipeptide,2,8,200,59508,3876813,0.5
23.500,2034,11.769,101,false,0.8264683926965516,0.01388558487985401,0.42782263924999075,0.5185214875668276,database,shuffled-dipeptide,2,8,200,59508,3876813,0.5
24.000,1824,7.785,80,false,0.8264683926965516,0.01388558487985401,0.42782263924999075,0.5185214875668276,database,shuffled-dipeptide,2,8,200,59508,3876813,0.5
24.500,1591,5.150,68,false,0.8264683926965516,0.01388558487985401,0.42782263924999075,0.5185214875668276,database,shuffled-dipeptide,2,8,200,59508,3876813,0.5
25.000,1464,3.407,62,false,0.8264683926965516,0.01388558487985401,0.42782263924999075,0.5185214875668276,database,shuffled-dipeptide,2,8,200,59508,3876813,0.5
25.500,1344,2.254,56,false,0.8264683926965516,0.01388558487985401,0.42782263924999075,0.5185214875668276,database,shuffled-dipeptide,2,8,200,59508,3876813,0.5
26.000,1255,1.491,27,false,0.8264683926965516,0.01388558487985401,0.42782263924999075,0.5185214875668276,database,shuffled-dipeptide,2,8,200,59508,3876813,0.5
26.500,1156,0.986,23,false,0.8264683926965516,0.01388558487985401,0.42782263924999075,0.5185214875668276,database,shuffled-dipeptide,2,8,200,59508,3876813,0.5
27.000,1065,0.652,18,false,0.8264683926965516,0.01388558487985401,0.42782263924999075,0.5185214875668276,database,shuffled-dipeptide,2,8,200,59508,3876813,0.5
27.500,947,0.432,17,false,0.8264683926965516,0.01388558487985401,0.42782263924999075,0.5185214875668276,database,shuffled-dipeptide,2,8,200,59508,3876813,0.5
28.000,872,0.285,12,false,0.8264683926965516,0.01388558487985401,0.42782263924999075,0.5185214875668276,database,shuffled-dipeptide,2,8,200,59508,3876813,0.5
28.500,822,0.189,10,false,0.8264683926965516,0.01388558487985401,0.42782263924999075,0.5185214875668276,database,shuffled-dipeptide,2,8,200,59508,3876813,0.5
29.000,774,0.125,8,false,0.8264683926965516,0.01388558487985401,0.42782263924999075,0.5185214875668276,database,shuffled-dipeptide,2,8,200,59508,3876813,0.5
29.500,697,0.083,7,false,0.8264683926965516,0.01388558487985401,0.42782263924999075,0.5185214875668276,database,shuffled-dipeptide,2,8,200,59508,3876813,0.5
30.000,659,0.055,6,false,0.8264683926965516,0.01388558487985401,0.42782263924999075,0.5185214875668276,database,shuffled-dipeptide,2,8,200,59508,3876813,0.5
30.500,615,0.036,5,false,0.8264683926965516,0.01388558487985401,0.42782263924999075,0.5185214875668276,database,shuffled-dipeptide,2,8,200,59508,3876813,0.5
31.000,579,0.024,5,false,0.8264683926965516,0.01388558487985401,0.42782263924999075,0.5185214875668276,database,shuffled-dipeptide,2,8,200,59508,3876813,0.5
31.500,530,0.016,4,false,0.8264683926965516,0.01388558487985401,0.42782263924999075,0.5185214875668276,database,shuffled-dipeptide,2,8,200,59508,3876813,0.5
32.000,489,0.010,4,false,0.8264683926965516,0.01388558487985401,0.42782263924999075,0.5185214875668276,database,shuffled-dipeptide,2,8,200,59508,3876813,0.5
32.500,444,0.007,4,false,0.8264683926965516,0.01388558487985401,0.42782263924999075,0.5185214875668276,database,shuffled-dipeptide,2,8,200,59508,3876813,0.5
33.000,415,0.005,4,false,0.8264683926965516,0.01388558487985401,0.42782263924999075,0.5185214875668276,database,shuffled-dipeptide,2,8,200,59508,3876813,0.5
33.500,379,0.003,4,false,0.8264683926965516,0.01388558487985401,0.42782263924999075,0.5185214875668276,database,shuffled-dipeptide,2,8,200,59508,3876813,0.5
34.000,351,0.002,3,false,0.8264683926965516,0.01388558487985401,0.42782263924999075,0.5185214875668276,database,shuffled-dipeptide,2,8,200,59508,3876813,0.5
34.500,329,0.001,2,false,0.8264683926965516,0.01388558487985401,0.42782263924999075,0.5185214875668276,database,shuffled-dipeptide,2,8,200,59508,3876813,0.5
35.000,304,0.001,2,false,0.8264683926965516,0.01388558487985401,0.42782263924999075,0.5185214875668276,database,shuffled-dipeptide,2,8,200,59508,3876813,0.5
35.500,281,0.001,2,false,0.8264683926965516,0.01388558487985401,0.42782263924999075,0.5185214875668276,database,shuffled-dipeptide,2,8,200,59508,3876813,0.5
36.000,249,0.000,2,false,0.8264683926965516,0.01388558487985401,0.42782263924999075,0.5185214875668276,database,shuffled-dipeptide,2,8,200,59508,3876813,0.5
36.500,224,0.000,1,false,0.8264683926965516,0.01388558487985401,0.42782263924999075,0.5185214875668276,database,shuffled-dipeptide,2,8,200,59508,3876813,0.5
37.000,204,0.000,1,false,0.8264683926965516,0.01388558487985401,0.42782263924999075,0.5185214875668276,database,shuffled-dipeptide,2,8,200,59508,3876813,0.5
37.500,154,0.000,1,false,0.8264683926965516,0.01388558487985401,0.42782263924999075,0.5185214875668276,database,shuffled-dipeptide,2,8,200,59508,3876813,0.5
38.000,120,0.000,1,false,0.8264683926965516,0.01388558487985401,0.42782263924999075,0.5185214875668276,database,shuffled-dipeptide,2,8,200,59508,3876813,0.5
38.500,97,0.000,,false,0.8264683926965516,0.01388558487985401,0.42782263924999075,0.5185214875668276,database,shuffled-dipeptide,2,8,200,59508,3876813,0.5
39.000,80,0.000,,false,0.8264683926965516,0.01388558487985401,0.42782263924999075,0.5185214875668276,database,shuffled-dipeptide,2,8,200,59508,3876813,0.5
39.500,60,0.000,,false,0.8264683926965516,0.01388558487985401,0.42782263924999075,0.5185214875668276,database,shuffled-dipeptide,2,8,200,59508,3876813,0.5
40.000,48,0.000,,false,0.8264683926965516,0.01388558487985401,0.42782263924999075,0.5185214875668276,database,shuffled-dipeptide,2,8,200,59508,3876813,0.5
40.500,39,0.000,,false,0.8264683926965516,0.01388558487985401,0.42782263924999075,0.5185214875668276,database,shuffled-dipeptide,2,8,200,59508,3876813,0.5
41.000,33,0.000,,false,0.8264683926965516,0.01388558487985401,0.42782263924999075,0.5185214875668276,database,shuffled-dipeptide,2,8,200,59508,3876813,0.5
41.500,29,0.000,,false,0.8264683926965516,0.01388558487985401,0.42782263924999075,0.5185214875668276,database,shuffled-dipeptide,2,8,200,59508,3876813,0.5
42.000,25,0.000,,false,0.8264683926965516,0.01388558487985401,0.42782263924999075,0.5185214875668276,database,shuffled-dipeptide,2,8,200,59508,3876813,0.5
42.500,16,0.000,,false,0.8264683926965516,0.01388558487985401,0.42782263924999075,0.5185214875668276,database,shuffled-dipeptide,2,8,200,59508,3876813,0.5
43.000,16,0.000,,false,0.8264683926965516,0.01388558487985401,0.42782263924999075,0.5185214875668276,database,shuffled-dipeptide,2,8,200,59508,3876813,0.5
43.500,16,0.000,,false,0.8264683926965516,0.01388558487985401,0.42782263924999075,0.5185214875668276,database,shuffled-dipeptide,2,8,200,59508,3876813,0.5
44.000,12,0.000,,false,0.8264683926965516,0.01388558487985401,0.42782263924999075,0.5185214875668276,database,shuffled-dipeptide,2,8,200,59508,3876813,0.5
