score,n_regions_at_least,fitted_n_regions_at_least,in_fit,lambda,k,lambda_analytic,match_probability,null,mismatch_penalty,xdrop,n_queries,query_residues,database_kmers
12,67605714,302776485.201,false,0.5032750038394856,0.27384776083197754,0.4526644838587708,0.5098856766924897,shuffled,2,8,1000,183379,2529869
13,47394538,183042772.832,false,0.5032750038394856,0.27384776083197754,0.4526644838587708,0.5098856766924897,shuffled,2,8,1000,183379,2529869
14,32687751,110658054.121,false,0.5032750038394856,0.27384776083197754,0.4526644838587708,0.5098856766924897,shuffled,2,8,1000,183379,2529869
15,22255385,66898052.037,false,0.5032750038394856,0.27384776083197754,0.4526644838587708,0.5098856766924897,shuffled,2,8,1000,183379,2529869
16,14987638,40443051.361,false,0.5032750038394856,0.27384776083197754,0.4526644838587708,0.5098856766924897,shuffled,2,8,1000,183379,2529869
17,9996815,24449746.347,false,0.5032750038394856,0.27384776083197754,0.4526644838587708,0.5098856766924897,shuffled,2,8,1000,183379,2529869
18,6611081,14781033.485,false,0.5032750038394856,0.27384776083197754,0.4526644838587708,0.5098856766924897,shuffled,2,8,1000,183379,2529869
19,4336685,8935837.117,false,0.5032750038394856,0.27384776083197754,0.4526644838587708,0.5098856766924897,shuffled,2,8,1000,183379,2529869
20,2822570,5402138.156,false,0.5032750038394856,0.27384776083197754,0.4526644838587708,0.5098856766924897,shuffled,2,8,1000,183379,2529869
21,1825035,3265849.217,false,0.5032750038394856,0.27384776083197754,0.4526644838587708,0.5098856766924897,shuffled,2,8,1000,183379,2529869
22,1170559,1974361.041,false,0.5032750038394856,0.27384776083197754,0.4526644838587708,0.5098856766924897,shuffled,2,8,1000,183379,2529869
23,747541,1193595.068,false,0.5032750038394856,0.27384776083197754,0.4526644838587708,0.5098856766924897,shuffled,2,8,1000,183379,2529869
24,475428,721584.937,false,0.5032750038394856,0.27384776083197754,0.4526644838587708,0.5098856766924897,shuffled,2,8,1000,183379,2529869
25,301458,436232.383,false,0.5032750038394856,0.27384776083197754,0.4526644838587708,0.5098856766924897,shuffled,2,8,1000,183379,2529869
26,190590,263723.205,false,0.5032750038394856,0.27384776083197754,0.4526644838587708,0.5098856766924897,shuffled,2,8,1000,183379,2529869
27,119668,159433.209,false,0.5032750038394856,0.27384776083197754,0.4526644838587708,0.5098856766924897,shuffled,2,8,1000,183379,2529869
28,75228,96384.951,false,0.5032750038394856,0.27384776083197754,0.4526644838587708,0.5098856766924897,shuffled,2,8,1000,183379,2529869
29,47109,58269.283,false,0.5032750038394856,0.27384776083197754,0.4526644838587708,0.5098856766924897,shuffled,2,8,1000,183379,2529869
30,29407,35226.550,false,0.5032750038394856,0.27384776083197754,0.4526644838587708,0.5098856766924897,shuffled,2,8,1000,183379,2529869
31,18364,21296.124,false,0.5032750038394856,0.27384776083197754,0.4526644838587708,0.5098856766924897,shuffled,2,8,1000,183379,2529869
32,11490,12874.519,false,0.5032750038394856,0.27384776083197754,0.4526644838587708,0.5098856766924897,shuffled,2,8,1000,183379,2529869
33,7167,7783.258,false,0.5032750038394856,0.27384776083197754,0.4526644838587708,0.5098856766924897,shuffled,2,8,1000,183379,2529869
34,4487,4705.350,false,0.5032750038394856,0.27384776083197754,0.4526644838587708,0.5098856766924897,shuffled,2,8,1000,183379,2529869
35,2824,2844.607,true,0.5032750038394856,0.27384776083197754,0.4526644838587708,0.5098856766924897,shuffled,2,8,1000,183379,2529869
36,1730,1719.700,true,0.5032750038394856,0.27384776083197754,0.4526644838587708,0.5098856766924897,shuffled,2,8,1000,183379,2529869
37,1071,1039.641,true,0.5032750038394856,0.27384776083197754,0.4526644838587708,0.5098856766924897,shuffled,2,8,1000,183379,2529869
38,676,628.512,true,0.5032750038394856,0.27384776083197754,0.4526644838587708,0.5098856766924897,shuffled,2,8,1000,183379,2529869
39,411,379.965,true,0.5032750038394856,0.27384776083197754,0.4526644838587708,0.5098856766924897,shuffled,2,8,1000,183379,2529869
40,255,229.707,true,0.5032750038394856,0.27384776083197754,0.4526644838587708,0.5098856766924897,shuffled,2,8,1000,183379,2529869
41,153,138.869,true,0.5032750038394856,0.27384776083197754,0.4526644838587708,0.5098856766924897,shuffled,2,8,1000,183379,2529869
42,99,83.953,true,0.5032750038394856,0.27384776083197754,0.4526644838587708,0.5098856766924897,shuffled,2,8,1000,183379,2529869
43,69,50.753,false,0.5032750038394856,0.27384776083197754,0.4526644838587708,0.5098856766924897,shuffled,2,8,1000,183379,2529869
44,47,30.683,false,0.5032750038394856,0.27384776083197754,0.4526644838587708,0.5098856766924897,shuffled,2,8,1000,183379,2529869
45,28,18.549,false,0.5032750038394856,0.27384776083197754,0.4526644838587708,0.5098856766924897,shuffled,2,8,1000,183379,2529869
46,19,11.214,false,0.5032750038394856,0.27384776083197754,0.4526644838587708,0.5098856766924897,shuffled,2,8,1000,183379,2529869
47,12,6.779,false,0.5032750038394856,0.27384776083197754,0.4526644838587708,0.5098856766924897,shuffled,2,8,1000,183379,2529869
48,8,4.098,false,0.5032750038394856,0.27384776083197754,0.4526644838587708,0.5098856766924897,shuffled,2,8,1000,183379,2529869
49,5,2.478,false,0.5032750038394856,0.27384776083197754,0.4526644838587708,0.5098856766924897,shuffled,2,8,1000,183379,2529869
50,3,1.498,false,0.5032750038394856,0.27384776083197754,0.4526644838587708,0.5098856766924897,shuffled,2,8,1000,183379,2529869
51,3,0.906,false,0.5032750038394856,0.27384776083197754,0.4526644838587708,0.5098856766924897,shuffled,2,8,1000,183379,2529869
52,2,0.547,false,0.5032750038394856,0.27384776083197754,0.4526644838587708,0.5098856766924897,shuffled,2,8,1000,183379,2529869
