x,n_regions_at_least,fitted_n_regions_at_least,reference_n_regions_at_least,in_fit,r_database,k,lambda_analytic,match_probability,null,reference,mismatch_penalty,xdrop,n_queries,query_residues,database_kmers,bin_width
0.000,49224016,2914616466.363,,false,0.8632496698179053,0.012633718815393288,0.42782263924999075,0.5185214875668276,shuffled,,2,8,200,59508,3876813,0.5
0.500,49163449,1892906358.595,,false,0.8632496698179053,0.012633718815393288,0.42782263924999075,0.5185214875668276,shuffled,,2,8,200,59508,3876813,0.5
1.000,49141894,1229353681.268,,false,0.8632496698179053,0.012633718815393288,0.42782263924999075,0.5185214875668276,shuffled,,2,8,200,59508,3876813,0.5
1.500,49101217,798407415.552,,false,0.8632496698179053,0.012633718815393288,0.42782263924999075,0.5185214875668276,shuffled,,2,8,200,59508,3876813,0.5
2.000,49028709,518528077.738,,false,0.8632496698179053,0.012633718815393288,0.42782263924999075,0.5185214875668276,shuffled,,2,8,200,59508,3876813,0.5
2.500,48900902,336759606.895,,false,0.8632496698179053,0.012633718815393288,0.42782263924999075,0.5185214875668276,shuffled,,2,8,200,59508,3876813,0.5
3.000,48635301,218709531.276,,false,0.8632496698179053,0.012633718815393288,0.42782263924999075,0.5185214875668276,shuffled,,2,8,200,59508,3876813,0.5
3.500,48038802,142041557.514,,false,0.8632496698179053,0.012633718815393288,0.42782263924999075,0.5185214875668276,shuffled,,2,8,200,59508,3876813,0.5
4.000,46801516,92249313.248,,false,0.8632496698179053,0.012633718815393288,0.42782263924999075,0.5185214875668276,shuffled,,2,8,200,59508,3876813,0.5
4.500,44314348,59911591.675,,false,0.8632496698179053,0.012633718815393288,0.42782263924999075,0.5185214875668276,shuffled,,2,8,200,59508,3876813,0.5
5.000,39289316,38909761.934,,false,0.8632496698179053,0.012633718815393288,0.42782263924999075,0.5185214875668276,shuffled,,2,8,200,59508,3876813,0.5
5.500,30195436,25270060.959,,false,0.8632496698179053,0.012633718815393288,0.42782263924999075,0.5185214875668276,shuffled,,2,8,200,59508,3876813,0.5
6.000,20769932,16411716.472,,false,0.8632496698179053,0.012633718815393288,0.42782263924999075,0.5185214875668276,shuffled,,2,8,200,59508,3876813,0.5
6.500,13857816,10658638.220,,false,0.8632496698179053,0.012633718815393288,0.42782263924999075,0.5185214875668276,shuffled,,2,8,200,59508,3876813,0.5
7.000,9106075,6922284.388,,false,0.8632496698179053,0.012633718815393288,0.42782263924999075,0.5185214875668276,shuffled,,2,8,200,59508,3876813,0.5
