x,n_regions_at_least,fitted_n_regions_at_least,reference_n_regions_at_least,in_fit,r_database,k,lambda_analytic,match_probability,null,reference,mismatch_penalty,xdrop,n_queries,query_residues,database_kmers,bin_width
0.000,58682321,5430393767.627,,false,0.8583991549047305,0.016503753841006247,0.4499970535423192,0.5108115744279745,reversed,,2,8,200,71748,4586050,0.5
0.500,58681762,3535349174.758,,false,0.8583991549047305,0.016503753841006247,0.4499970535423192,0.5108115744279745,reversed,,2,8,200,71748,4586050,0.5
1.000,58680986,2301618321.304,,false,0.8583991549047305,0.016503753841006247,0.4499970535423192,0.5108115744279745,reversed,,2,8,200,71748,4586050,0.5
1.500,58678964,1498422541.905,,false,0.8583991549047305,0.016503753841006247,0.4499970535423192,0.5108115744279745,reversed,,2,8,200,71748,4586050,0.5
2.000,58672874,975518005.442,,false,0.8583991549047305,0.016503753841006247,0.4499970535423192,0.5108115744279745,reversed,,2,8,200,71748,4586050,0.5
2.500,58654383,635091472.751,,false,0.8583991549047305,0.016503753841006247,0.4499970535423192,0.5108115744279745,reversed,,2,8,200,71748,4586050,0.5
3.000,58602659,413463592.175,,false,0.8583991549047305,0.016503753841006247,0.4499970535423192,0.5108115744279745,reversed,,2,8,200,71748,4586050,0.5
3.500,58464183,269177196.339,,false,0.8583991549047305,0.016503753841006247,0.4499970535423192,0.5108115744279745,reversed,,2,8,200,71748,4586050,0.5
4.000,58076338,175242426.178,,false,0.8583991549047305,0.016503753841006247,0.4499970535423192,0.5108115744279745,reversed,,2,8,200,71748,4586050,0.5
4.500,56994393,114088074.140,,false,0.8583991549047305,0.016503753841006247,0.4499970535423192,0.5108115744279745,reversed,,2,8,200,71748,4586050,0.5
5.000,53661012,74274757.231,,false,0.8583991549047305,0.016503753841006247,0.4499970535423192,0.5108115744279745,reversed,,2,8,200,71748,4586050,0.5
5.500,43206288,48355094.109,,false,0.8583991549047305,0.016503753841006247,0.4499970535423192,0.5108115744279745,reversed,,2,8,200,71748,4586050,0.5
6.000,30163678,31480616.207,,false,0.8583991549047305,0.016503753841006247,0.4499970535423192,0.5108115744279745,reversed,,2,8,200,71748,4586050,0.5
6.500,20380309,20494825.107,,false,0.8583991549047305,0.016503753841006247,0.4499970535423192,0.5108115744279745,reversed,,2,8,200,71748,4586050,0.5
7.000,13571082,13342745.688,,false,0.8583991549047305,0.016503753841006247,0.4499970535423192,0.5108115744279745,reversed,,2,8,200,71748,4586050,0.5
7.500,8955941,8686527.529,,false,0.8583991549047305,0.016503753841006247,0.4499970535423192,0.5108115744279745,reversed,,2,8,200,71748,4586050,0.5
8.000,5866762,5655189.890,,false,0.8583991549047305,0.016503753841006247,0.4499970535423192,0.5108115744279745,reversed,,2,8,200,71748,4586050,0.5
